Gender,Age as of Academic Year 17/18,Current Year (17/18),Proposed Year/Grade (18/19),Year of Admission ,Previous Curriculum (17/18)2,Current School ,Current Curriculum ,Previous year/Grade ,Math-exam,Science-exam ',English-exam ',Math19-1 ',Science19-1 ',English19-1 ',Math19-2 ',Science19-2 ',English19-2 ',Math19-3 ',Science19-3 ',English19-3 ',Math20-1 ',Science20-1 ',English20-1 ',Math20-2 ',Science20-2 ',English20-2 ',Math20-3 ',Science20-3 ',English20-3 '
Female,10,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,86,88,86,54,95,84,62,92,73,82,62,56,70,65,79,85,91,92,73,72,69
Male,9,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,69,70,64,80,77,91,84,58,91,86,92,60,87,79,73,81,69,87,89,73,80
Female,9,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,89,79,67,53,83,79,83,60,60,79,61,61,60,66,77,92,78,99,74,76,75
Male,10,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,55,85,53,53,92,75,72,85,68,67,57,95,74,74,67,89,69,80,86,78,92
Male,8,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,83,71,83,66,90,77,68,89,79,69,94,52,92,73,89,74,74,69,89,76,97
Male,9,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,71,70,97,80,85,85,75,71,70,91,89,91,98,99,87,88,84,95,98,81,95
Male,10,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,65,78,86,52,90,59,79,66,64,78,92,76,80,91,90,69,89,91,83,88,69
Female,10,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,96,82,96,60,71,84,69,82,66,75,80,85,88,75,88,85,80,82,95,88,95
Female,9,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,74,69,52,81,87,52,80,79,89,95,88,87,88,90,82,96,77,95,69,98,70
Male,10,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,88,54,72,65,81,53,61,58,60,52,78,62,63,71,94,89,75,88,72,78,89
Male,9,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,98,77,71,82,60,60,76,80,88,76,84,81,79,78,85,80,92,91,95,91,80
Female,8,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,84,99,73,89,65,64,81,87,76,79,97,74,78,96,98,82,75,92,95,92,83
Male,8,Grade 4,Grade 5,School 1 Current Student,American ,School 1,American ,Grade System,79,94,82,66,64,83,74,79,82,76,88,97,77,76,94,83,81,87,95,95,91
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,68,65,64,86,69,93,58,69,59,77,83,65,79,76,67,88,86,93,98,75,72
Female,9,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,68,64,84,88,56,86,58,88,68,91,88,78,70,94,63,98,75,92,73,74,87
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,50,78,52,78,80,89,81,60,87,59,68,62,93,82,89,72,82,75,85,69,80
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,72,68,51,91,60,81,94,73,69,58,59,87,92,90,65,93,86,89,72,97,82
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,81,93,53,85,80,55,56,70,83,95,90,95,70,60,63,70,74,82,86,75,77
Female,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,71,71,99,77,62,86,70,77,78,92,97,97,92,84,95,89,78,82,93,98,81
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,93,72,72,58,74,72,64,61,56,80,94,62,67,74,64,74,98,85,71,90,69
Female,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,87,87,84,60,66,83,75,89,69,86,87,86,75,76,90,88,80,80,80,91,80
Female,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,68,81,62,90,92,62,92,61,76,53,68,94,69,62,79,84,90,81,75,77,72
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,67,59,69,54,92,93,60,89,68,73,58,90,85,72,69,75,95,83,71,93,93
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,52,71,77,90,70,55,80,73,89,72,56,54,83,80,81,71,82,78,89,87,74
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,89,64,60,94,94,71,65,58,90,60,61,92,81,84,81,88,84,72,91,98,88
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,96,97,85,75,66,88,74,69,83,83,94,97,94,97,82,92,78,77,85,80,97
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,94,93,66,72,51,87,80,66,57,92,74,82,94,95,82,95,75,92,99,91,69
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,54,81,91,53,53,94,86,61,72,93,61,81,76,87,75,95,84,86,72,69,97
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,79,61,71,81,77,75,69,84,91,79,94,70,79,73,71,77,73,99,98,82,74
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,84,51,81,79,55,93,75,72,61,53,76,66,81,80,65,93,76,97,70,90,78
Female,9,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,73,71,71,67,82,73,70,90,70,75,80,98,75,79,82,91,93,88,80,93,96
Male,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,77,83,72,75,62,72,91,60,74,61,62,86,84,85,76,77,79,81,79,87,83
Female,9,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,71,94,91,86,83,67,59,94,89,67,67,87,78,79,79,99,80,77,70,81,89
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,94,77,86,93,80,77,65,88,55,73,68,56,78,66,82,99,75,91,91,77,75
Male,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,93,97,77,90,82,86,82,83,72,86,79,96,96,92,75,93,82,83,85,91,91
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,60,93,89,52,63,82,85,59,56,87,61,71,62,71,93,89,94,79,99,80,85
Male,9,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,68,75,66,78,63,79,71,91,78,51,83,81,67,74,79,97,80,86,90,91,83
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,89,54,72,78,80,73,70,66,88,89,86,51,74,95,88,91,86,96,79,72,84
Female,9,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,57,75,88,77,94,69,62,56,74,91,93,63,86,80,92,97,74,83,69,74,76
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,50,71,85,87,64,74,83,61,69,83,64,85,62,86,72,71,83,70,84,81,73
Male,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,64,68,86,55,94,83,93,66,58,68,75,92,88,82,73,86,99,70,84,97,82
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,81,68,90,88,54,87,65,74,59,93,63,91,70,82,81,74,99,69,90,79,81
Male,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,76,90,95,55,82,62,62,70,58,82,82,72,75,69,77,90,76,85,83,74,73
Female,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,56,78,62,73,60,58,95,58,67,86,92,85,79,62,64,72,94,96,76,97,84
Male,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,70,81,76,59,83,64,94,88,86,59,63,69,80,74,83,95,96,98,91,89,87
Male,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,64,70,80,79,54,50,61,84,73,62,80,76,63,89,85,74,91,79,81,81,81
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,71,70,88,66,73,50,77,95,68,67,91,80,82,82,92,73,75,74,99,76,70
Female,11,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,54,71,80,55,62,94,67,55,68,82,71,60,62,65,80,75,79,69,97,92,96
Male,10,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,88,64,76,62,93,79,56,82,56,78,80,72,93,77,82,74,81,71,76,71,90
Male,9,Grade 5,Grade 6 ,School 1 Current Student,American ,School 1,American ,Grade System,63,85,81,92,57,95,61,91,57,75,68,82,66,82,73,98,94,97,75,92,90
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,84,52,93,54,77,64,75,92,59,60,51,74,78,92,89,78,90,69,80,92,76
Female,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,88,95,86,74,71,83,73,85,88,86,93,84,92,99,85,91,77,84,91,96,90
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,85,53,75,91,70,79,82,65,95,84,65,71,72,79,71,94,87,91,80,96,99
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,85,82,79,92,50,81,92,93,63,56,66,60,80,84,71,95,92,93,75,98,88
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,97,72,100,65,76,66,65,88,83,78,91,86,86,90,97,79,79,90,98,82,96
Male,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,66,95,69,69,77,83,66,90,56,64,84,58,62,83,72,74,82,78,96,87,82
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,80,74,51,87,66,68,68,71,91,72,82,67,88,70,65,96,71,83,87,84,80
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,55,72,67,58,53,94,69,78,59,87,59,78,60,63,95,82,92,77,79,98,81
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,63,81,80,93,88,56,79,57,84,79,63,73,77,72,83,70,91,90,82,98,76
Female,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,69,60,85,65,64,95,65,70,69,76,76,65,68,87,92,81,80,93,76,91,99
Male,10,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,92,89,93,61,84,73,61,91,95,89,94,73,89,60,75,74,72,76,84,95,76
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,77,79,56,92,55,53,78,74,86,76,87,54,74,79,88,80,90,77,96,72,80
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,95,69,71,95,88,54,66,77,88,86,86,81,70,91,77,88,71,93,98,99,80
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,58,79,61,67,59,52,66,55,89,61,81,59,66,83,64,74,87,71,81,73,70
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,79,66,55,52,86,50,63,71,67,50,57,93,93,71,60,77,96,92,93,86,78
Male,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,77,53,68,51,58,89,59,65,70,55,53,60,72,74,78,86,94,82,99,86,84
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,64,56,87,87,85,90,62,78,80,74,84,75,92,72,94,95,81,77,79,89,97
Female,10,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,82,92,89,64,54,55,88,79,75,53,65,59,91,76,87,95,90,93,98,72,74
Male,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,68,93,68,87,85,86,87,73,89,57,94,51,79,76,70,91,74,95,75,98,79
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,92,82,90,64,68,50,68,91,79,59,71,68,94,89,81,82,73,88,88,91,89
Male,10,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,80,59,62,74,81,59,90,83,83,83,88,92,77,91,76,96,73,94,70,97,88
Female,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,72,85,76,95,66,88,78,69,83,82,92,78,78,69,71,96,76,92,92,73,93
Male,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,79,66,80,57,59,94,89,67,73,91,60,82,73,73,94,78,99,76,82,81,81
Female,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,73,78,65,64,84,62,57,64,89,67,58,83,95,66,76,77,92,75,76,74,79
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,55,81,85,82,64,51,64,55,77,58,92,89,86,74,79,92,90,83,94,76,78
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,56,57,70,88,82,56,63,66,75,58,83,91,89,92,69,71,84,75,90,75,92
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,72,54,56,60,90,63,71,62,60,88,79,55,61,91,65,96,84,90,96,97,85
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,55,78,88,73,52,93,62,70,72,53,88,79,82,80,64,96,92,97,94,84,97
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,89,67,86,67,51,50,61,78,86,68,68,84,83,83,63,75,74,75,70,78,90
Male,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,85,50,62,78,93,84,61,56,65,94,95,70,79,68,84,91,99,95,73,79,81
Female,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,76,73,88,89,57,57,83,93,90,83,52,81,68,69,83,75,86,70,80,81,74
Male,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,86,90,54,67,60,87,66,89,65,74,87,62,95,68,71,77,99,75,91,81,88
Female,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,77,76,88,90,73,55,84,85,65,60,86,89,66,74,71,86,91,71,78,88,88
Male,12,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,52,62,84,67,67,50,55,57,92,90,75,59,85,89,71,71,77,70,82,87,80
Male,11,Grade 6 ,Grade 7 ,School 1 Current Student,American ,School 1,American ,Grade System,77,79,61,87,86,63,75,62,64,73,89,51,72,95,92,90,87,97,88,72,97
Female,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,72,91,65,81,76,71,79,76,63,59,90,51,90,76,94,74,75,93,99,90,83
Female,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,70,89,95,61,92,69,88,75,87,85,60,69,81,94,84,78,90,81,82,75,87
Male,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,77,51,94,57,72,70,59,58,94,74,73,60,85,76,92,97,76,96,92,86,85
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,90,56,50,65,59,68,67,55,93,56,67,71,69,66,84,72,81,96,83,82,88
Male,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,89,58,85,60,90,78,63,93,86,92,73,55,63,89,94,89,74,78,92,74,95
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,86,82,71,87,91,52,82,58,58,64,77,51,71,92,74,89,94,98,91,99,80
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,54,81,84,56,71,75,88,75,62,65,73,75,88,85,75,72,86,85,75,91,84
Female,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,86,67,81,70,68,92,85,70,73,69,71,82,82,70,83,70,96,88,90,87,84
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,73,79,74,64,63,66,94,57,94,55,92,91,71,63,61,76,75,69,96,74,99
Female,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,68,92,92,57,69,81,73,62,63,64,91,53,70,72,63,78,86,85,95,69,75
Male,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,54,54,62,63,55,86,67,59,82,70,71,54,75,60,82,99,94,85,95,73,71
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,52,55,60,54,72,57,82,61,63,95,76,58,72,85,75,71,85,70,86,90,98
Female,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,85,58,79,87,70,94,63,75,59,60,90,79,78,74,93,83,82,75,99,72,93
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,91,83,72,80,84,61,81,78,83,74,96,85,98,91,84,85,85,88,90,98,81
Female,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,79,82,83,81,76,62,87,57,84,76,70,81,86,70,93,69,69,80,96,96,77
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,93,68,74,64,92,84,82,66,86,95,94,94,64,94,78,99,71,93,81,86,69
Male,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,95,84,78,59,74,78,74,68,89,87,69,85,76,79,67,72,93,94,73,89,92
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,70,63,93,82,76,73,74,88,55,93,74,58,87,61,85,72,75,97,77,74,69
Female,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,81,69,88,73,59,64,89,84,83,59,83,95,66,91,65,75,81,99,76,75,77
Female,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,62,92,76,78,88,63,76,71,81,84,50,53,71,80,75,77,93,84,75,71,95
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,78,64,62,70,91,82,77,57,68,73,62,59,73,79,76,87,78,89,78,87,91
Female,13,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,72,76,60,53,89,63,93,90,95,88,88,84,71,68,80,89,70,80,89,79,88
Male,12,Grade 7 ,Grade 8 ,School 1 Current Student,American ,School 1,American ,Grade System,95,67,57,57,61,90,71,94,76,69,55,75,68,68,87,80,84,72,91,89,89
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,95,76,81,77,76,50,65,75,61,51,58,93,60,90,62,78,91,74,77,80,77
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,82,93,91,72,92,92,63,64,86,68,77,51,62,81,95,91,75,70,96,92,76
Male,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,51,70,51,61,61,82,73,60,73,83,92,67,76,79,61,76,85,79,80,99,95
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,52,79,74,71,71,95,65,77,61,60,58,68,93,74,66,91,86,91,92,78,78
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,89,84,74,95,77,73,62,91,55,66,86,69,72,70,76,88,76,92,98,76,93
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,54,66,93,92,81,83,70,70,95,63,74,66,86,75,93,96,99,77,80,83,91
Male,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,67,57,73,84,69,62,78,91,92,68,89,85,89,86,65,82,95,77,76,82,98
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,66,67,91,85,82,90,62,89,58,53,58,88,91,75,91,70,75,75,78,83,70
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,86,55,84,86,81,92,85,60,56,82,83,84,82,73,81,99,95,87,80,76,82
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,51,93,80,53,84,69,90,85,74,76,95,63,77,77,71,84,87,92,87,73,70
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,72,89,62,82,80,58,84,60,90,88,70,61,65,70,66,88,94,73,91,69,84
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,94,54,50,77,62,66,82,63,73,56,65,89,94,75,62,98,90,83,89,86,78
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,58,52,71,54,85,66,76,58,58,55,88,69,83,86,89,98,89,91,74,80,79
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,71,93,91,93,94,60,70,91,86,93,69,50,89,63,60,71,80,78,82,75,74
Female,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,74,86,70,92,53,62,59,62,60,94,71,63,73,65,94,81,85,90,96,81,96
Female,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,96,71,91,72,63,87,76,71,80,93,72,75,94,79,77,89,95,78,82,98,92
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,84,78,73,81,62,71,94,68,82,73,94,83,68,85,60,75,80,82,83,78,96
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,66,83,86,60,55,51,58,86,93,71,72,92,79,60,85,80,90,85,81,75,93
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,82,59,62,62,61,64,74,59,69,83,79,90,86,75,72,92,85,95,85,85,98
Male,12,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,72,58,58,58,62,84,55,89,88,70,92,86,60,75,84,92,92,97,96,77,85
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,70,57,83,64,76,57,91,80,73,63,50,57,82,70,60,76,88,87,79,93,72
Female,12,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,68,78,53,53,91,67,85,94,79,92,59,68,66,68,64,77,88,70,90,86,90
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,51,61,79,60,77,78,80,63,87,90,90,60,86,67,69,99,95,83,75,99,87
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,75,82,66,74,69,76,86,93,59,50,76,90,81,93,79,78,85,72,96,82,83
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,61,56,76,58,50,71,91,80,89,95,54,92,92,79,80,88,88,96,78,91,78
Female,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,73,59,52,55,77,88,91,73,78,84,82,62,65,68,67,92,94,90,70,86,92
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,84,78,55,92,65,59,77,81,93,57,86,82,82,71,75,90,90,83,83,83,74
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,86,87,59,77,59,78,61,74,85,78,66,56,83,81,62,87,88,80,71,81,70
Female,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,91,77,77,83,70,60,90,89,62,59,83,74,69,91,79,73,76,97,86,84,90
Male,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,72,92,57,63,92,85,74,59,92,78,83,87,89,76,62,75,93,84,84,85,77
Female,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,87,95,93,65,91,57,89,78,85,62,76,65,85,76,87,69,96,74,81,69,90
Male,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,59,83,76,78,69,77,69,67,94,57,51,58,83,73,74,96,81,89,87,93,75
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,74,59,52,65,51,64,83,73,83,82,80,88,75,94,67,96,93,82,81,81,83
Female,13,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,73,93,60,69,75,95,63,70,82,71,93,70,63,81,74,95,75,83,86,92,92
Male,14,Grade 8 ,Grade 9 ,School 1 Current Student,American ,School 1,American ,Grade System,71,76,75,88,61,64,74,76,65,91,87,74,94,86,81,76,81,82,85,88,94
Male,8,Year 4,Grade 4,New Admission 18/19,British,School 1,American ,Year System,70,65,68,63,78,95,62,82,69,79,52,59,73,64,64,69,87,87,94,72,94
Female,8,Year 4,Grade 4,New Admission 18/19,British,School 1,American ,Year System,95,57,87,89,81,58,87,63,61,85,63,93,79,76,68,87,93,88,84,80,72
Female,8,Grade 3,Grade 4,New Admission 18/19,UAE,School 1,American ,Grade system,83,95,77,65,90,84,83,79,83,95,91,96,83,79,95,85,78,76,82,96,90
Female,7,Year 4,Grade 4,New Admission 18/19,British,School 1,American ,Year System ,63,84,54,72,89,61,78,61,85,61,50,64,65,95,73,71,73,96,69,77,80
Male,9,Year 5,Grade 5,New Admission 18/19,British,School 1,American ,Year System,87,85,76,69,78,62,78,90,67,54,57,66,73,78,79,93,88,81,70,86,69
Female,9,Year 5,Grade 5,New Admission 18/19,British,School 1,American ,Year System,59,94,57,95,75,94,70,92,64,58,69,69,78,91,71,92,70,79,70,90,85
Male,9,Grade 4,Grade 5,New Admission 18/19,American,School 1,American ,Grade system,75,68,73,89,54,60,86,87,59,86,70,65,74,74,80,97,71,86,97,73,74
Female,10,Year 5,Grade 5,New Admission 18/19,British,School 1,American ,Year System ,76,50,73,79,94,95,83,70,78,67,56,76,84,76,68,69,95,87,69,85,71
Male,11,Grade 6 ,Grade 7 ,New Admission 18/19,UAE,School 1,American ,Grade System,87,72,84,68,60,89,75,73,60,90,68,92,61,75,87,97,95,83,81,89,74
Female,6,Grade 1,Grade 2,New Admission 18/19,UAE,School 1,American ,Grade System,73,83,59,86,64,78,84,55,82,73,68,54,72,89,67,83,91,84,76,88,95
Female,6,Year 2,Grade 2,New Admission 18/19,British,School 1,American ,Year System,67,88,68,81,52,72,84,95,65,71,79,66,63,89,66,92,83,75,79,69,73
Male,6,Year 2,Grade 2,New Admission 18/19,British,School 1,American ,Year System,82,57,91,50,81,54,67,58,65,59,74,68,73,77,70,99,85,97,81,88,71
Female,8,Year 4,Grade 4,New Admission 18/19,British,School 1,American ,Year System,72,57,75,88,85,61,71,88,65,80,54,57,78,92,83,93,78,86,75,86,76
Male,8,Grade 3,Grade 4,New Admission 18/19,Indian,School 1,American ,Grade system,53,58,92,64,56,70,56,85,88,76,76,61,83,95,76,95,89,96,96,94,78
Male,8,Year 4,Grade 4,New Admission 18/19,British ,School 1,American ,Year System,62,82,66,85,59,65,72,95,90,70,63,60,71,80,90,99,93,97,71,74,97
Male,13,Grade 8 ,Grade 9 ,New Admission 18/19,UAE,School 1,American ,Grade System,92,90,92,78,79,53,93,92,87,84,67,64,66,90,67,97,95,84,89,82,79
Female,14,Grade 8 ,Grade 9 ,New Admission 18/19,American ,School 1,American ,Grade system,93,50,84,79,60,94,76,80,91,54,70,87,75,82,72,90,81,80,88,73,81
